"licenca","cod_cli","data_emissao","vend_cli","pedido_fora_rota","inicio_atendimento","final_atendimento","motivo_nao_compra"
"3724","0009-0093","2026-03-02",302,True,"2026-03-02T08:49:24.285Z","2026-03-02T08:57:14.428Z","S"
"3724","0024-0136","2026-03-02",205,False,"2026-03-02T09:05:12.389Z","2026-03-02T09:05:54.426Z","B"
"3724","0013-0221","2026-03-02",203,False,"2026-03-02T08:47:52.647Z","2026-03-02T09:11:09.314Z","S"
"3724","0013-0270","2026-03-02",203,False,"2026-03-02T09:46:41.681Z","2026-03-02T09:50:46.982Z","S"
"3680","0002-3316","2026-03-02",106,False,"2026-03-02T10:55:54.550Z","2026-03-02T11:01:26.289Z","S"
"3724","0026-0039","2026-03-02",203,False,"2026-03-02T10:56:56.427Z","2026-03-02T11:01:36.443Z","S"
"3724","0035-0725","2026-03-02",505,False,"2026-03-02T11:01:11.123Z","2026-03-02T11:07:56.181Z","S"
"3680","0003-0016","2026-03-02",805,False,"2026-03-02T12:02:51.715Z","2026-03-02T12:06:54.079Z","S"
"3724","0035-0049","2026-03-02",503,True,"2026-03-02T12:05:07.821Z","2026-03-02T12:10:14.140Z","S"
"3680","0004-0725","2026-03-02",701,False,"2026-03-02T12:04:45.744Z","2026-03-02T12:11:09.685Z","S"
"3680","0001-0190","2026-03-02",404,False,"2026-03-02T12:36:19.777Z","2026-03-02T12:50:40.489Z","S"
"3680","0002-3137","2026-03-02",103,False,"2026-03-02T10:03:47.019Z","2026-03-02T10:09:30.180Z","S"
"3680","0011-0050","2026-03-02",407,False,"2026-03-02T15:17:29.707Z","2026-03-02T15:31:51.596Z","S"
"3680","0012-0361","2026-03-02",402,False,"2026-03-02T11:34:30.963Z","2026-03-02T11:35:49.183Z","S"
"3724","0009-2066","2026-03-02",305,True,"2026-03-02T09:52:37.208Z","2026-03-02T09:55:34.240Z","S"
"3724","0025-0155","2026-03-02",204,False,"2026-03-02T12:43:14.477Z","2026-03-02T12:45:31.985Z","S"
"3724","0024-0198","2026-03-02",601,False,"2026-03-02T12:45:28.400Z","2026-03-02T12:46:36.086Z","S"
"3724","0025-0129","2026-03-02",204,False,"2026-03-02T15:42:47.489Z","2026-03-02T15:45:43.352Z","S"
"3680","0002-2267","2026-03-02",703,False,"2026-03-02T10:06:07.435Z","2026-03-02T10:10:38.123Z","S"
"3724","0034-0154","2026-03-02",502,False,"2026-03-02T12:56:21.575Z","2026-03-02T12:57:02.985Z","S"
"3680","0002-3049","2026-03-02",106,False,"2026-03-02T09:46:18.569Z","2026-03-02T10:18:44.292Z","S"
"3724","0034-0157","2026-03-02",502,False,"2026-03-02T12:57:15.673Z","2026-03-02T12:58:00.979Z","S"
"3680","0003-2330","2026-03-02",104,False,"2026-03-02T10:16:02.293Z","2026-03-02T10:20:08.785Z","S"
"3680","0002-0936","2026-03-02",703,False,"2026-03-02T12:49:47.530Z","2026-03-02T12:59:44.000Z","S"
"3680","0002-3007","2026-03-02",101,True,"2026-03-02T13:01:38.605Z","2026-03-02T13:04:09.053Z","S"
"3680","0004-0046","2026-03-02",804,False,"2026-03-02T13:02:10.334Z","2026-03-02T13:05:13.206Z","S"
"3680","0002-2652","2026-03-02",103,False,"2026-03-02T15:50:05.646Z","2026-03-02T15:54:09.952Z","S"
"3680","0003-2452","2026-03-02",805,False,"2026-03-02T12:39:29.086Z","2026-03-02T12:44:49.768Z","S"
"3680","0002-3989","2026-03-02",702,False,"2026-03-02T15:50:02.398Z","2026-03-02T15:54:11.404Z","S"
"3724","0009-1344","2026-03-02",303,False,"2026-03-02T15:50:16.414Z","2026-03-02T15:54:28.056Z","S"
"3680","0011-0313","2026-03-02",407,False,"2026-03-02T10:59:10.678Z","2026-03-02T11:03:23.245Z","S"
"3724","0021-0496","2026-03-02",202,True,"2026-03-02T13:18:03.214Z","2026-03-02T13:24:23.008Z","S"
"3680","0001-1328","2026-03-02",404,False,"2026-03-02T13:20:13.026Z","2026-03-02T13:24:18.139Z","S"
"3724","0026-0006","2026-03-02",203,False,"2026-03-02T11:01:54.143Z","2026-03-02T11:07:15.982Z","S"
"3680","0022-0144","2026-03-02",405,False,"2026-03-02T13:20:16.887Z","2026-03-02T13:24:54.990Z","S"
"3680","0001-1445","2026-03-02",404,False,"2026-03-02T15:56:36.413Z","2026-03-02T16:00:47.513Z","S"
"3724","0035-1368","2026-03-02",504,True,"2026-03-02T13:44:09.482Z","2026-03-02T13:46:13.977Z","S"
"3680","0001-0739","2026-03-02",406,False,"2026-03-02T11:00:45.862Z","2026-03-02T11:20:04.311Z","S"
"3724","0025-0008","2026-03-02",204,False,"2026-03-02T13:53:42.468Z","2026-03-02T13:58:56.976Z","S"
"3724","0034-0160","2026-03-02",502,False,"2026-03-02T14:17:28.432Z","2026-03-02T14:18:20.188Z","S"
"3680","0003-2564","2026-03-02",105,False,"2026-03-02T14:15:47.222Z","2026-03-02T14:19:50.173Z","S"
"3724","0034-0097","2026-03-02",502,False,"2026-03-02T14:33:56.518Z","2026-03-02T14:34:24.007Z","S"
"3680","0004-1445","2026-03-02",804,False,"2026-03-02T14:30:52.273Z","2026-03-02T14:37:01.574Z","S"
"3680","0002-2697","2026-03-02",703,False,"2026-03-02T14:46:55.307Z","2026-03-02T15:24:26.980Z","S"
"3724","0013-1292","2026-03-02",204,True,"2026-03-02T15:21:38.710Z","2026-03-02T15:24:00.349Z","S"
"3680","0002-3071","2026-03-02",703,False,"2026-03-02T15:32:01.174Z","2026-03-02T15:36:31.336Z","S"
"3680","0002-0914","2026-03-02",106,False,"2026-03-02T15:34:27.379Z","2026-03-02T15:35:28.498Z","F"
"3680","0003-1169","2026-03-02",104,False,"2026-03-02T15:29:47.369Z","2026-03-02T15:36:34.777Z","S"
"3724","0009-0552","2026-03-02",302,False,"2026-03-02T08:38:00.691Z","2026-03-02T08:38:33.517Z","B"
"3724","0024-0114","2026-03-02",205,False,"2026-03-02T08:42:09.759Z","2026-03-02T08:44:08.403Z","B"
"3724","0035-0101","2026-03-02",604,False,"2026-03-02T08:39:19.097Z","2026-03-02T08:46:05.842Z","Z"
"3724","0013-0865","2026-03-02",203,False,"2026-03-02T07:46:04.109Z","2026-03-02T08:38:53.141Z","B"
"3724","0024-0281","2026-03-02",205,False,"2026-03-02T08:46:37.843Z","2026-03-02T08:51:32.609Z","B"
"3680","0001-1295","2026-03-02",702,False,"2026-03-02T08:47:54.960Z","2026-03-02T09:01:10.380Z","Z"
"3724","0035-0124","2026-03-02",604,False,"2026-03-02T08:49:22.208Z","2026-03-02T09:02:02.062Z","S"
"3724","0009-0401","2026-03-02",305,False,"2026-03-02T08:56:13.337Z","2026-03-02T09:02:53.701Z","O"
"3724","0009-1229","2026-03-02",306,False,"2026-03-02T08:57:52.868Z","2026-03-02T09:05:52.374Z","O"
"3724","0009-2062","2026-03-02",305,False,"2026-03-02T09:03:54.447Z","2026-03-02T09:06:17.830Z","O"
"3724","0035-0463","2026-03-02",504,False,"2026-03-02T08:42:30.230Z","2026-03-02T09:06:38.984Z","S"
"3680","0001-1453","2026-03-02",702,False,"2026-03-02T09:05:59.151Z","2026-03-02T09:12:18.741Z","H"
"3724","0009-1992","2026-03-02",306,False,"2026-03-02T09:06:34.153Z","2026-03-02T09:09:26.996Z","N"
"3724","0025-0025","2026-03-02",204,False,"2026-03-02T08:59:47.740Z","2026-03-02T09:10:43.090Z","B"
"3724","0009-2280","2026-03-02",305,False,"2026-03-02T09:09:50.580Z","2026-03-02T09:11:36.244Z","O"
"3724","0024-0110","2026-03-02",205,False,"2026-03-02T09:15:02.340Z","2026-03-02T09:15:26.170Z","B"
"3724","0024-0124","2026-03-02",205,False,"2026-03-02T09:13:38.677Z","2026-03-02T09:14:03.623Z","B"
"3724","0024-0261","2026-03-02",205,False,"2026-03-02T09:14:17.166Z","2026-03-02T09:14:39.916Z","N"
"3680","0003-1623","2026-03-02",805,False,"2026-03-02T09:14:49.285Z","2026-03-02T09:15:37.850Z","O"
"3724","0009-2268","2026-03-02",305,False,"2026-03-02T09:12:39.310Z","2026-03-02T09:15:48.995Z","O"
"3724","0035-0558","2026-03-02",604,False,"2026-03-02T09:11:23.265Z","2026-03-02T09:16:15.502Z","S"
"3680","0004-0311","2026-03-02",801,False,"2026-03-02T09:00:56.753Z","2026-03-02T09:16:42.183Z","Z"
"3680","0007-0649","2026-03-02",802,True,"2026-03-02T09:23:20.102Z","2026-03-02T09:23:33.386Z","S"
"3724","0024-0115","2026-03-02",205,False,"2026-03-02T09:20:40.058Z","2026-03-02T09:24:56.028Z","S"
"3680","0002-2143","2026-03-02",703,False,"2026-03-02T09:25:57.460Z","2026-03-02T09:26:31.749Z","N"
"3724","0009-0469","2026-03-02",304,False,"2026-03-02T09:24:03.190Z","2026-03-02T09:26:54.142Z","O"
"3680","0001-0816","2026-03-02",704,False,"2026-03-02T09:20:50.383Z","2026-03-02T09:27:00.697Z","B"
"3724","0009-1027","2026-03-02",306,False,"2026-03-02T09:09:42.552Z","2026-03-02T09:17:16.384Z","Z"
"3724","0009-0535","2026-03-02",302,False,"2026-03-02T09:17:53.529Z","2026-03-02T09:19:15.753Z","O"
"3724","0009-1285","2026-03-02",304,False,"2026-03-02T09:07:05.660Z","2026-03-02T09:20:28.223Z","N"
"3680","0002-1294","2026-03-02",103,False,"2026-03-02T09:20:40.773Z","2026-03-02T09:20:59.248Z","Z"
"3680","0007-0090","2026-03-02",802,True,"2026-03-02T09:24:01.642Z","2026-03-02T09:24:18.437Z","S"
"3724","0021-0493","2026-03-02",202,False,"2026-03-02T09:19:02.048Z","2026-03-02T09:26:55.250Z","B"
"3680","0003-2567","2026-03-02",805,False,"2026-03-02T09:27:30.256Z","2026-03-02T09:28:05.222Z","C"
"3680","0001-0575","2026-03-02",702,False,"2026-03-02T09:16:39.275Z","2026-03-02T09:20:33.991Z","B"
"3724","0009-1165","2026-03-02",306,False,"2026-03-02T09:23:47.171Z","2026-03-02T09:32:16.402Z","Z"
"3680","0003-2570","2026-03-02",805,False,"2026-03-02T09:31:51.825Z","2026-03-02T09:32:24.502Z","F"
"3680","0003-2195","2026-03-02",805,False,"2026-03-02T09:34:08.239Z","2026-03-02T09:34:54.361Z","O"
"3680","0007-0527","2026-03-02",802,False,"2026-03-02T09:25:40.368Z","2026-03-02T09:28:07.614Z","N"
"3724","0024-0199","2026-03-02",205,False,"2026-03-02T09:28:58.163Z","2026-03-02T09:31:21.612Z","B"
"3680","0001-1217","2026-03-02",704,False,"2026-03-02T09:29:21.465Z","2026-03-02T09:32:53.349Z","Z"
"3724","0009-1102","2026-03-02",303,False,"2026-03-02T09:31:05.120Z","2026-03-02T09:34:38.345Z","B"
"3680","0004-1823","2026-03-02",801,False,"2026-03-02T09:25:13.620Z","2026-03-02T09:35:19.045Z","Z"
"3724","0035-0039","2026-03-02",501,False,"2026-03-02T09:16:24.490Z","2026-03-02T09:35:27.842Z","F"
"3724","0035-0731","2026-03-02",505,False,"2026-03-02T09:34:19.454Z","2026-03-02T09:35:37.516Z","F"
"3724","0009-0637","2026-03-02",301,False,"2026-03-02T09:33:37.626Z","2026-03-02T09:40:29.820Z","B"
"3680","0001-0800","2026-03-02",702,False,"2026-03-02T09:32:23.363Z","2026-03-02T09:35:37.840Z","N"
"3724","0033-0127","2026-03-02",201,False,"2026-03-02T09:12:21.873Z","2026-03-02T09:38:16.620Z","Z"
"3724","0035-1275","2026-03-02",604,False,"2026-03-02T09:20:51.223Z","2026-03-02T09:38:58.438Z","S"
"3724","0009-0606","2026-03-02",306,False,"2026-03-02T09:36:52.381Z","2026-03-02T09:39:20.358Z","Z"
"3680","0004-1777","2026-03-02",804,False,"2026-03-02T09:39:09.941Z","2026-03-02T09:39:37.649Z","F"
"3724","0034-0130","2026-03-02",502,False,"2026-03-02T09:39:13.956Z","2026-03-02T09:39:39.644Z","Z"
"3724","0013-0083","2026-03-02",203,False,"2026-03-02T09:23:34.251Z","2026-03-02T09:40:11.984Z","S"
"3724","0009-0403","2026-03-02",305,False,"2026-03-02T09:19:42.377Z","2026-03-02T09:44:21.487Z","Z"
"3724","0024-0164","2026-03-02",205,False,"2026-03-02T09:40:25.294Z","2026-03-02T09:44:55.026Z","S"
"3680","0002-0047","2026-03-02",105,False,"2026-03-02T09:45:12.276Z","2026-03-02T09:46:08.254Z","O"
"3680","0003-1974","2026-03-02",107,False,"2026-03-02T09:43:58.590Z","2026-03-02T09:44:51.034Z","F"
"3680","0004-0805","2026-03-02",804,True,"2026-03-02T09:47:08.152Z","2026-03-02T09:47:30.723Z","S"
"3724","0009-1010","2026-03-02",306,False,"2026-03-02T09:39:32.156Z","2026-03-02T09:40:35.424Z","A"
"3724","0009-0245","2026-03-02",302,False,"2026-03-02T09:40:33.543Z","2026-03-02T09:41:40.412Z","H"
"3724","0009-2353","2026-03-02",306,False,"2026-03-02T09:41:58.439Z","2026-03-02T09:47:11.635Z","B"
"3724","0009-2229","2026-03-02",302,False,"2026-03-02T09:46:59.273Z","2026-03-02T09:47:44.550Z","P"
"3680","0001-1011","2026-03-02",702,False,"2026-03-02T10:01:39.325Z","2026-03-02T10:02:10.828Z","A"
"3724","0025-0105","2026-03-02",204,False,"2026-03-02T09:25:16.913Z","2026-03-02T09:27:01.749Z","Z"
"3724","0025-0049","2026-03-02",204,False,"2026-03-02T09:30:50.712Z","2026-03-02T09:45:40.694Z","B"
"3680","0002-1412","2026-03-02",101,False,"2026-03-02T10:27:13.747Z","2026-03-02T10:34:36.325Z","S"
"3680","0004-1951","2026-03-02",804,False,"2026-03-02T09:47:59.552Z","2026-03-02T09:48:22.229Z","F"
"3724","0009-2227","2026-03-02",302,False,"2026-03-02T09:47:53.872Z","2026-03-02T09:48:39.074Z","B"
"3724","0025-0086","2026-03-02",204,False,"2026-03-02T09:45:54.505Z","2026-03-02T09:48:56.211Z","B"
"3680","0007-0304","2026-03-02",802,False,"2026-03-02T09:47:04.297Z","2026-03-02T09:49:41.472Z","B"
"3680","0001-1101","2026-03-02",404,False,"2026-03-02T09:47:48.547Z","2026-03-02T09:50:40.739Z","N"
"3724","0009-2229","2026-03-02",302,False,"2026-03-02T09:51:07.018Z","2026-03-02T09:51:44.105Z","S"
"3680","0002-3522","2026-03-02",105,False,"2026-03-02T09:46:42.073Z","2026-03-02T09:50:48.381Z","O"
"3680","0018-0181","2026-03-02",805,False,"2026-03-02T09:38:02.808Z","2026-03-02T09:51:19.788Z","S"
"3724","0035-0723","2026-03-02",505,False,"2026-03-02T09:51:18.766Z","2026-03-02T09:52:10.514Z","B"
"3680","0003-2437","2026-03-02",805,False,"2026-03-02T09:51:55.405Z","2026-03-02T09:52:27.936Z","Z"
"3724","0035-0893","2026-03-02",505,False,"2026-03-02T09:52:21.330Z","2026-03-02T09:52:46.106Z","F"
"3724","0013-0593","2026-03-02",203,True,"2026-03-02T09:53:09.695Z","2026-03-02T09:54:10.229Z","S"
"3724","0009-2177","2026-03-02",304,False,"2026-03-02T09:29:36.699Z","2026-03-02T09:54:59.054Z","Z"
"3680","0001-1331","2026-03-02",404,False,"2026-03-02T09:53:20.859Z","2026-03-02T09:55:04.418Z","N"
"3680","0001-0938","2026-03-02",704,False,"2026-03-02T09:39:57.049Z","2026-03-02T09:55:21.208Z","B"
"3680","0003-2615","2026-03-02",107,False,"2026-03-02T09:48:14.496Z","2026-03-02T09:49:32.904Z","F"
"3680","0002-3633","2026-03-02",107,False,"2026-03-02T09:54:42.426Z","2026-03-02T09:55:31.105Z","F"
"3724","0025-0136","2026-03-02",204,False,"2026-03-02T09:54:59.644Z","2026-03-02T09:55:55.090Z","B"
"3724","0009-0300","2026-03-02",306,False,"2026-03-02T09:54:38.725Z","2026-03-02T09:56:09.653Z","N"
"3680","0011-0195","2026-03-02",407,False,"2026-03-02T09:52:12.788Z","2026-03-02T09:56:51.694Z","S"
"3680","0002-3371","2026-03-02",105,False,"2026-03-02T09:57:09.313Z","2026-03-02T09:58:37.979Z","O"
"3680","0003-2241","2026-03-02",805,False,"2026-03-02T09:53:47.119Z","2026-03-02T09:56:23.190Z","B"
"3724","0035-0629","2026-03-02",604,False,"2026-03-02T09:41:36.375Z","2026-03-02T09:56:40.782Z","Z"
"3680","0002-2079","2026-03-02",703,False,"2026-03-02T09:52:37.236Z","2026-03-02T09:57:35.053Z","S"
"3680","0002-2766","2026-03-02",703,False,"2026-03-02T09:58:36.396Z","2026-03-02T09:59:10.357Z","N"
"3680","0001-0798","2026-03-02",702,False,"2026-03-02T09:52:39.534Z","2026-03-02T09:55:40.611Z","O"
"3680","0003-1337","2026-03-02",107,False,"2026-03-02T09:56:33.997Z","2026-03-02T09:59:21.408Z","B"
"3680","0003-0672","2026-03-02",701,False,"2026-03-02T09:51:14.490Z","2026-03-02T10:00:06.375Z","S"
"3680","0004-0306","2026-03-02",801,False,"2026-03-02T09:45:44.380Z","2026-03-02T10:01:23.060Z","Z"
"3680","0003-1660","2026-03-02",107,False,"2026-03-02T09:59:28.998Z","2026-03-02T10:02:02.913Z","F"
"3724","0035-0530","2026-03-02",503,False,"2026-03-02T09:55:47.454Z","2026-03-02T10:02:18.137Z","B"
"3680","0015-0384","2026-03-02",101,False,"2026-03-02T09:30:51.385Z","2026-03-02T09:39:52.558Z","B"
"3680","0002-4004","2026-03-02",101,False,"2026-03-02T09:59:20.187Z","2026-03-02T10:02:48.291Z","N"
"3724","0021-0225","2026-03-02",202,False,"2026-03-02T09:53:28.213Z","2026-03-02T10:03:27.972Z","B"
"3724","0009-0461","2026-03-02",304,False,"2026-03-02T09:59:02.017Z","2026-03-02T10:04:49.270Z","B"
"3680","0001-0865","2026-03-02",704,False,"2026-03-02T10:05:02.333Z","2026-03-02T10:05:28.896Z","H"
"3680","0002-1510","2026-03-02",105,False,"2026-03-02T10:00:30.856Z","2026-03-02T10:06:07.225Z","O"
"3724","0025-0043","2026-03-02",204,False,"2026-03-02T09:57:55.201Z","2026-03-02T10:06:20.856Z","Z"
"3724","0035-0763","2026-03-02",505,False,"2026-03-02T10:06:22.406Z","2026-03-02T10:07:38.699Z","B"
"3680","0003-2685","2026-03-02",805,False,"2026-03-02T10:07:19.047Z","2026-03-02T10:08:06.051Z","B"
"3680","0003-0859","2026-03-02",102,False,"2026-03-02T10:04:51.679Z","2026-03-02T10:09:37.595Z","M"
"3724","0035-0070","2026-03-02",505,False,"2026-03-02T10:13:01.758Z","2026-03-02T10:14:17.997Z","S"
"3724","0009-0244","2026-03-02",302,False,"2026-03-02T10:01:24.854Z","2026-03-02T10:08:22.521Z","Z"
"3680","0003-1428","2026-03-02",107,False,"2026-03-02T10:05:57.492Z","2026-03-02T10:08:27.050Z","N"
"3724","0009-2065","2026-03-02",305,False,"2026-03-02T10:04:50.930Z","2026-03-02T10:09:15.930Z","N"
"3680","0003-2674","2026-03-02",107,False,"2026-03-02T10:08:43.828Z","2026-03-02T10:09:20.935Z","B"
"3680","0003-1112","2026-03-02",102,False,"2026-03-02T09:59:02.597Z","2026-03-02T10:03:59.724Z","S"
"3724","0035-0334","2026-03-02",505,False,"2026-03-02T10:10:31.807Z","2026-03-02T10:12:44.685Z","F"
"3724","0035-0070","2026-03-02",505,False,"2026-03-02T10:08:30.101Z","2026-03-02T10:09:58.319Z","N"
"3680","0001-1417","2026-03-02",401,False,"2026-03-02T10:09:24.034Z","2026-03-02T10:10:23.671Z","N"
"3680","0016-0343","2026-03-02",805,False,"2026-03-02T10:10:01.021Z","2026-03-02T10:10:40.498Z","N"
"3680","0003-2679","2026-03-02",107,False,"2026-03-02T10:09:43.268Z","2026-03-02T10:10:57.774Z","C"
"3680","0007-0299","2026-03-02",802,False,"2026-03-02T09:56:17.944Z","2026-03-02T10:10:53.150Z","S"
"3680","0004-1739","2026-03-02",801,False,"2026-03-02T10:09:13.000Z","2026-03-02T10:13:15.961Z","S"
"3680","0016-0204","2026-03-02",701,False,"2026-03-02T10:05:14.652Z","2026-03-02T10:15:11.696Z","B"
"3680","0001-0588","2026-03-02",704,False,"2026-03-02T10:11:40.768Z","2026-03-02T10:12:46.573Z","N"
"3680","0002-3186","2026-03-02",104,False,"2026-03-02T10:09:03.523Z","2026-03-02T10:13:07.778Z","S"
